,date,region,score
0,2009-01-01,AU,-0.5276083796559047
1,2009-01-01,BF,-0.7351169341567336
2,2009-01-01,BW,-0.7477278877575673
3,2009-01-01,CF,-0.5000000000000004
4,2009-01-01,CH,-0.5544644285403105
5,2009-01-01,CU,-0.5863331410319601
6,2009-01-01,ES,-0.5260943273776184
7,2009-01-01,GN,-0.5000000000000004
8,2009-01-01,IE,-0.6341170111088589
9,2009-01-01,MX,-0.5051590614075694
10,2009-01-01,TH,-0.5095680767078214
11,2009-01-02,AL,-0.5595724472270328
12,2009-01-02,AT,-0.5117285964902002
13,2009-01-02,CF,-0.5000000000000004
14,2009-01-02,CL,-0.5080631524780879
15,2009-01-02,DE,-0.5112677868675622
16,2009-01-02,ER,-0.4544055429039514
17,2009-01-02,ES,-0.5416455449460081
18,2009-01-02,GB,-0.5067866964225222
19,2009-01-02,GN,-0.5000000000000004
20,2009-01-02,HU,-0.5214652263128632
21,2009-01-02,IT,-0.5402370297332042
22,2009-01-02,KH,-0.6273515760069538
23,2009-01-02,NO,-0.5376320361061673
24,2009-01-02,SO,-0.7619498885068888
25,2009-01-02,TW,-0.5178318565504624
26,2009-01-02,UG,-0.5250560176785212
27,2009-01-02,US,-0.5003758232146474
28,2009-01-02,VN,-0.5362365765306419
29,2009-01-03,BF,-0.7177867344432234
30,2009-01-03,CF,-0.5000000000000004
31,2009-01-03,CH,-0.5089399211343968
32,2009-01-03,ER,-0.4507407304448998
33,2009-01-03,FR,-0.5044284771017861
34,2009-01-03,GN,-0.5000000000000004
35,2009-01-03,GY,-0.5688327879950383
36,2009-01-03,JP,-0.5473964398807172
37,2009-01-03,SY,-0.5116617563450242
38,2009-01-04,AU,-0.548911678643599
39,2009-01-04,CF,-0.5000000000000004
40,2009-01-04,CH,-0.5747150032794167
41,2009-01-04,CM,-0.6023521504156323
42,2009-01-04,DE,-0.5749556271345136
43,2009-01-04,ES,-0.559013154518258
44,2009-01-04,GB,-0.5147091022589318
45,2009-01-04,GN,-0.5000000000000004
46,2009-01-04,GR,-0.562097926527341
47,2009-01-04,HT,-0.6507339931163282
48,2009-01-04,IE,-0.5464826013063526
49,2009-01-04,IL,-0.5347466388621894
50,2009-01-04,IT,-0.5280384895379747
51,2009-01-04,RO,-0.5173406122926604
52,2009-01-04,TH,-0.5430484452871999
53,2009-01-04,US,-0.5400677976813877
54,2009-01-04,VE,-0.5062268785750953
55,2009-01-05,BA,-0.5183217568031626
56,2009-01-05,BJ,-0.6382328864847236
57,2009-01-05,BW,-0.6142261163005128
58,2009-01-05,CF,-0.5000000000000004
59,2009-01-05,CH,-0.6350735115489079
60,2009-01-05,DE,-0.5587897402786092
61,2009-01-05,ES,-0.518990782421882
62,2009-01-05,FR,-0.5503600895170471
63,2009-01-05,GN,-0.5000000000000004
64,2009-01-05,IR,-0.5136677793658306
65,2009-01-05,IT,-0.5567366778448477
66,2009-01-05,KE,-0.6456428793599824
67,2009-01-05,MX,-0.5260133648913077
68,2009-01-05,NL,-0.5029623005272807
69,2009-01-05,OM,-0.514270592035745
70,2009-01-05,PE,-0.5031812470198787
71,2009-01-05,RW,-0.6840021446563161
72,2009-01-05,UZ,-0.6101303802380353
73,2009-01-06,AF,-0.6519391876765127
74,2009-01-06,AZ,-0.5448540983684513
75,2009-01-06,BJ,-0.6068801088849839
76,2009-01-06,CF,-0.5000000000000004
77,2009-01-06,CM,-0.5804495243893271
78,2009-01-06,DE,-0.5386439520683333
79,2009-01-06,ES,-0.5331590955773066
80,2009-01-06,FR,-0.5392508648576326
81,2009-01-06,GA,-0.7706073373148764
82,2009-01-06,GB,-0.5201676868594644
83,2009-01-06,GN,-0.5000000000000004
84,2009-01-06,NL,-0.5260461834155531
85,2009-01-06,SE,-0.5105142750515161
86,2009-01-06,TR,-0.5026464610901776
87,2009-01-06,VN,-0.5789944955934995
88,2009-01-07,CF,-0.5000000000000004
89,2009-01-07,CM,-0.5752020200579319
90,2009-01-07,FI,-0.5030818277339589
91,2009-01-07,FR,-0.5333368018246775
92,2009-01-07,GA,-0.6260962535026161
93,2009-01-07,GN,-0.5000000000000004
94,2009-01-07,KR,-0.5730222238802538
95,2009-01-07,KW,-0.5079803992093518
96,2009-01-07,LT,-0.5260934658003633
97,2009-01-07,MK,-0.5155298881896017
98,2009-01-07,PE,-0.5182793228544218
99,2009-01-07,PT,-0.5073262079903577
100,2009-01-07,SZ,-0.7440495711699269
101,2009-01-08,AL,-0.5512976368773671
102,2009-01-08,CD,-0.6405375765595782
103,2009-01-08,CF,-0.5000000000000004
104,2009-01-08,CI,-0.5593964991128498
105,2009-01-08,EG,-0.5130769978720119
106,2009-01-08,GN,-0.5000000000000004
107,2009-01-08,GY,-0.6714446516291984
108,2009-01-08,LS,-0.7043515713716302
109,2009-01-08,MD,-0.6249448603985716
110,2009-01-08,MZ,-0.5011200783427406
111,2009-01-08,PT,-0.5026464635958718
112,2009-01-09,CF,-0.5000000000000004
113,2009-01-09,ET,-0.5485006684185733
114,2009-01-09,GE,-0.5795124288740148
115,2009-01-09,GN,-0.5000000000000004
116,2009-01-09,GY,-0.5498725459115821
117,2009-01-09,HR,-0.5035749214178072
118,2009-01-09,JP,-0.5022284366453658
119,2009-01-09,MR,-0.7457828995656899
120,2009-01-09,SE,-0.5333159145276163
121,2009-01-10,AE,-0.5139093807928851
122,2009-01-10,CF,-0.5000000000000004
123,2009-01-10,CH,-0.5134988444480956
124,2009-01-10,EE,-0.5198801540781122
125,2009-01-10,GL,-0.7290929851159863
126,2009-01-10,GN,-0.5000000000000004
127,2009-01-10,GY,-0.6221084041546636
128,2009-01-10,IE,-0.5269482689071202
129,2009-01-10,IT,-0.5568956908403663
130,2009-01-10,ME,-0.525806392632377
131,2009-01-10,MN,-0.5861620543001324
132,2009-01-10,NE,-0.8211922763407877
133,2009-01-11,AM,-0.5424452510494728
134,2009-01-11,CF,-0.5000000000000004
135,2009-01-11,CH,-0.5139323162979607
136,2009-01-11,CL,-0.5075784361013487
137,2009-01-11,CU,-0.5310389134251094
138,2009-01-11,ER,-0.4477637039705693
139,2009-01-11,GA,-0.749742822151811
140,2009-01-11,GN,-0.5000000000000004
141,2009-01-11,IL,-0.5037746720656721
142,2009-01-11,IN,-0.5032040646811402
143,2009-01-11,LA,-0.5377995410901468
144,2009-01-11,MD,-0.5034083767662559
145,2009-01-11,MM,-0.5938667818367186
146,2009-01-11,PE,-0.5041359042994846
147,2009-01-11,PH,-0.5167718938013988
148,2009-01-12,AT,-0.5267556939190026
149,2009-01-12,CF,-0.5000000000000004
150,2009-01-12,CM,-0.7259016796997038
151,2009-01-12,DE,-0.5063108130592253
152,2009-01-12,ES,-0.5048178713674802
153,2009-01-12,GN,-0.5000000000000004
154,2009-01-12,IT,-0.5284650491018312
155,2009-01-12,JP,-0.5202617714816875
156,2009-01-12,MX,-0.5670528678476812
157,2009-01-12,NL,-0.5365421531713906
158,2009-01-12,PL,-0.5010685670675428
159,2009-01-12,RU,-0.5124363578558626
160,2009-01-12,UZ,-0.5477665997013885
161,2009-01-12,VN,-0.5024821793629765
162,2009-01-13,BE,-0.5058898621586317
163,2009-01-13,CF,-0.5000000000000004
164,2009-01-13,DE,-0.528366565078702
165,2009-01-13,FR,-0.5020790540034592
166,2009-01-13,GA,-0.7204923045158471
167,2009-01-13,GN,-0.5000000000000004
168,2009-01-13,GY,-0.5792494901814799
169,2009-01-13,IE,-0.5023572547288255
170,2009-01-13,MG,-0.5520939912370808
171,2009-01-13,MR,-0.7536606491689954
172,2009-01-13,SE,-0.5309961067112944
173,2009-01-14,BT,-0.7612510494322253
174,2009-01-14,CA,-0.5077591459286441
175,2009-01-14,CF,-0.5000000000000004
176,2009-01-14,CY,-0.5304707761135545
177,2009-01-14,DE,-0.5175304272007333
178,2009-01-14,ER,-0.4568572124428718
179,2009-01-14,GN,-0.5000000000000004
180,2009-01-14,MA,-0.5651429165680852
181,2009-01-14,MG,-0.5406845993333607
182,2009-01-14,NL,-0.5314764506405674
183,2009-01-14,VN,-0.5240772121755415
184,2009-01-15,BN,-0.5036372594239965
185,2009-01-15,BW,-0.7107645597428771
186,2009-01-15,CF,-0.5000000000000004
187,2009-01-15,GN,-0.5000000000000004
188,2009-01-15,NL,-0.516025327565211
189,2009-01-15,PE,-0.5199414457260066
190,2009-01-15,PL,-0.519346047668229
191,2009-01-15,SE,-0.5025949845068617
192,2009-01-16,BE,-0.5269057131860795
193,2009-01-16,CF,-0.5000000000000004
194,2009-01-16,CL,-0.53124675105343
195,2009-01-16,DE,-0.5097193608192885
196,2009-01-16,ES,-0.5557709580752881
197,2009-01-16,GN,-0.5000000000000004
198,2009-01-16,KR,-0.508932588333722
199,2009-01-16,MM,-0.6597019907782635
200,2009-01-16,TL,-0.5000000000000004
201,2009-01-17,AT,-0.5069728903685036
202,2009-01-17,BW,-0.578373649123964
203,2009-01-17,CF,-0.5000000000000004
204,2009-01-17,CI,-0.625215035915338
205,2009-01-17,CL,-0.5163117001197117
206,2009-01-17,DO,-0.5052287089027722
207,2009-01-17,FR,-0.5330969657849411
208,2009-01-17,GN,-0.5000000000000004
209,2009-01-17,MG,-0.5158111200081076
210,2009-01-17,NE,-0.7816204039807877
211,2009-01-17,TL,-0.5000000000000004
212,2009-01-18,AT,-0.5445168999006058
213,2009-01-18,BR,-0.528042333249683
214,2009-01-18,CF,-0.5000000000000004
215,2009-01-18,CH,-0.5256818150763877
216,2009-01-18,DE,-0.54998355859876
217,2009-01-18,ES,-0.5065424055670632
218,2009-01-18,ET,-0.5219336193152536
219,2009-01-18,FI,-0.5103265354359812
220,2009-01-18,FR,-0.5134226413620916
221,2009-01-18,GN,-0.5000000000000004
222,2009-01-18,LT,-0.5845814696010041
223,2009-01-18,LU,-0.5947208566446172
224,2009-01-18,MX,-0.5018260690106047
225,2009-01-18,NC,-0.6795760235873536
226,2009-01-18,PE,-0.5241092320490256
227,2009-01-18,PH,-0.5077811675053423
228,2009-01-18,PL,-0.5180001509941334
229,2009-01-18,TL,-0.5000000000000004
230,2009-01-18,TW,-0.5134818606616653
231,2009-01-19,AO,-0.5804245250103435
232,2009-01-19,BD,-0.5080931724873513
233,2009-01-19,BE,-0.6142232993362429
234,2009-01-19,CF,-0.5000000000000004
235,2009-01-19,DE,-0.5629444459226622
236,2009-01-19,DZ,-0.5298952283902962
237,2009-01-19,ES,-0.5297229527023295
238,2009-01-19,FR,-0.5042690581210088
239,2009-01-19,GN,-0.5000000000000004
240,2009-01-19,JP,-0.52965959323664
241,2009-01-19,NO,-0.5380788258620651
242,2009-01-19,PL,-0.5826817670102387
243,2009-01-19,SN,-0.5132455543406771
244,2009-01-19,TL,-0.5000000000000004
245,2009-01-19,TR,-0.5121842114626378
246,2009-01-19,VN,-0.5501513033403442
247,2009-01-20,CF,-0.5000000000000004
248,2009-01-20,CM,-0.5271026493988399
249,2009-01-20,DE,-0.5432808798075142
250,2009-01-20,ER,-0.4568963107051528
251,2009-01-20,ES,-0.5128885922446361
252,2009-01-20,FR,-0.5110696112318998
253,2009-01-20,GA,-0.778620193957655
254,2009-01-20,GN,-0.5000000000000004
255,2009-01-20,JP,-0.5510324813285425
256,2009-01-20,MW,-0.7247538099460286
257,2009-01-20,NL,-0.5436942112774991
258,2009-01-20,PL,-0.6065792850237214
259,2009-01-20,RU,-0.564829078986325
260,2009-01-20,SN,-0.5390127907146762
261,2009-01-20,TL,-0.5000000000000004
262,2009-01-21,BE,-0.5019448537104574
263,2009-01-21,BJ,-0.7138984731781358
264,2009-01-21,CF,-0.5000000000000004
265,2009-01-21,CM,-0.5546518534687922
266,2009-01-21,DE,-0.5057262408701062
267,2009-01-21,ER,-0.4550158745435725
268,2009-01-21,GA,-0.66838191920537
269,2009-01-21,GN,-0.5000000000000004
270,2009-01-21,KR,-0.5329754388035752
271,2009-01-21,MM,-0.7160843928769524
272,2009-01-21,NE,-0.7746524603875018
273,2009-01-21,PG,-0.7142486446317791
274,2009-01-21,PL,-0.5550154403055264
275,2009-01-21,SK,-0.5144807307276673
276,2009-01-21,SR,-0.5796447973585139
277,2009-01-21,TL,-0.5000000000000004
278,2009-01-22,AR,-0.5890353972851868
279,2009-01-22,AT,-0.5364450182494676
280,2009-01-22,CF,-0.7461456107396316
281,2009-01-22,CM,-0.5629128932004195
282,2009-01-22,FI,-0.5146218227833795
283,2009-01-22,GN,-0.5000000000000004
284,2009-01-22,KG,-0.7083902646922516
285,2009-01-22,MG,-0.5182708819384318
286,2009-01-22,MK,-0.5564187889672599
287,2009-01-22,MW,-0.7320502920726456
288,2009-01-22,NL,-0.5159879495012389
289,2009-01-22,SE,-0.5640486308849111
290,2009-01-22,TL,-0.5000000000000004
291,2009-01-22,VU,-0.836769846511264
292,2009-01-23,AL,-0.5508014212138345
293,2009-01-23,BF,-0.6494183337896695
294,2009-01-23,FI,-0.5095854896789861
295,2009-01-23,FR,-0.5166531101466647
296,2009-01-23,GE,-0.6503807844446831
297,2009-01-23,GN,-0.5000000000000004
298,2009-01-23,GY,-0.5485763542994304
299,2009-01-23,NC,-0.5215373244747379
300,2009-01-23,PL,-0.5228749262535469
301,2009-01-23,SE,-0.5404665480081268
302,2009-01-23,TJ,-0.8481337363618896
303,2009-01-23,TL,-0.5000000000000004
